 区站号 站名              经度    纬度     台站高度
58002 曹县                  115.55   34.81 1065.00
58005 商丘                  115.66   34.45  849.00
58012 丰县                  116.56   34.68 1469.00
58015 砀山                  116.33   34.42  166.00
58028 徐州                  117.36   34.31  386.00
58038 沭阳                  118.75   34.10  130.00
58040 赣榆                  119.13   34.83  599.00
58044 连云港                119.17   34.58  129.00
58049 滨海                  119.81   34.03 1005.00
58102 亳县（亳州）          115.77   33.87  829.00
58118 蒙城                  116.53   33.28  731.00
58122 宿县                  116.98   33.63  255.00
58130 睢宁                  118.06   33.88  714.00
58138 盱眙                  118.51   33.00 1411.00
58141 淮阴                  119.03   33.67  943.00
58144 淮阴                  119.03   33.60  721.00
58146 建湖                  119.82   33.48  344.00
58154 盐城                  120.15   33.38  503.00
58158 大丰                  120.48   33.20  227.00
58203 阜阳                  115.73   32.87 1207.00
58208 固始                  115.67   32.17 1453.00
58214 霍邱                  116.28   32.33  567.00
58215 寿县                  116.78   32.55  764.00
58222 凤阳                  117.55   32.87  472.00
58236 滁县                  118.30   32.30 1260.00
58240 天长                  119.02   32.68  816.00
58243 兴化                  119.83   32.98 1410.00
58245 扬州                  119.41   32.41 1061.00
58252 丹徒                  119.47   32.18  314.00
58255 如皋                  120.50   32.38 1219.00
58269 启东                  121.66   31.80  551.00
58311 六安                  116.50   31.75  659.00
58319 桐城                  116.93   31.05 1493.00
58321 合肥                  117.23   31.87  765.00
58339 高淳                  118.88   31.32  698.00
58342 金坛                  119.55   31.75  440.00
